age,current_occupation,first_interaction,profile_completed,website_visits,time_spent_on_website,page_views_per_visit,last_activity,print_media_type1,print_media_type2,digital_media,educational_channels,referral,status
57,Unemployed,Website,High,7,1639,1.861,Website Activity,Yes,No,Yes,No,No,1
56,Professional,Mobile App,Medium,2,83,0.32,Website Activity,No,No,No,Yes,No,0
52,Professional,Website,Medium,3,330,0.074,Website Activity,No,No,Yes,No,No,0
53,Unemployed,Website,High,4,464,2.057,Website Activity,No,No,No,No,No,1
23,Student,Website,High,4,600,16.914,Email Activity,No,No,No,No,No,0
50,Unemployed,Mobile App,High,4,212,5.682,Phone Activity,No,No,No,Yes,No,0
56,Professional,Mobile App,Medium,13,625,2.015,Website Activity,No,No,Yes,No,No,1
57,Professional,Mobile App,Medium,2,517,2.985,Email Activity,No,No,No,No,No,0
57,Professional,Mobile App,High,2,2231,2.194,Phone Activity,No,No,Yes,No,No,1
59,Professional,Mobile App,High,1,1819,3.513,Phone Activity,No,No,No,No,No,0
52,Professional,Website,Medium,2,433,2.14,Email Activity,No,No,No,No,No,1
57,Professional,Website,High,3,616,3.485,Website Activity,Yes,Yes,No,No,No,1
35,Professional,Website,High,4,239,2.214,Phone Activity,No,No,No,No,No,0
23,Student,Website,High,3,115,2.69,Email Activity,No,No,No,No,No,0
56,Professional,Website,High,6,358,0.279,Email Activity,No,No,No,No,No,0
62,Unemployed,Mobile App,High,5,1057,5.605,Phone Activity,No,No,No,Yes,No,0
47,Professional,Website,High,3,1419,3.45,Email Activity,No,No,Yes,No,Yes,1
35,Professional,Mobile App,Medium,7,926,3.655,Phone Activity,No,No,No,Yes,No,0
39,Unemployed,Website,Medium,2,97,2.948,Email Activity,No,No,No,No,No,0
36,Professional,Mobile App,Medium,4,399,2.031,Email Activity,No,No,No,No,No,0
20,Student,Mobile App,High,1,362,2.808,Email Activity,No,No,No,Yes,No,0
60,Professional,Mobile App,High,3,56,3.691,Email Activity,No,No,No,No,No,0
58,Unemployed,Website,High,1,271,2.561,Website Activity,Yes,No,No,No,No,0
32,Unemployed,Website,Medium,5,352,3.773,Email Activity,No,No,Yes,Yes,No,0
